Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Workilife,Firefox 69.0,,,2019-09-18 00:16:52,2019-09-18 00:17:39,46.920s,PASSED
,,,,,,,
Test Cases/Signin,Firefox 69.0,,,2019-09-18 00:16:53,2019-09-18 00:17:38,45.309s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-09-18 00:16:54,2019-09-18 00:17:08,14.210s,PASSED
"navigateToUrl(""https://qa.thework.life/"")",Firefox 69.0,,,2019-09-18 00:17:08,2019-09-18 00:17:19,10.740s,PASSED
"setText(findTestObject(""Object Repository/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""surajkumarsrivastava1991@gmail.com"")",Firefox 69.0,,,2019-09-18 00:17:19,2019-09-18 00:17:20,0.784s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""nzEsFCGA/BtMPXLkTTMM4w=="")",Firefox 69.0,,,2019-09-18 00:17:20,2019-09-18 00:17:20,0.400s,PASSED
"click(findTestObject(""Object Repository/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-09-18 00:17:20,2019-09-18 00:17:32,11.971s,PASSED
"click(findTestObject(""Object Repository/Page_Home/i_Settings_fa fa-gear""))",Firefox 69.0,,,2019-09-18 00:17:32,2019-09-18 00:17:32,0.351s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Logout""))",Firefox 69.0,,,2019-09-18 00:17:32,2019-09-18 00:17:36,3.316s,PASSED
closeBrowser(),Firefox 69.0,,,2019-09-18 00:17:36,2019-09-18 00:17:38,2.436s,PASSED
